work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_iso,company_location_iso
2021-01-01,Senior-level,Full Time,Data Engineer,160000,Puerto Rico,Partial Remote,United States,Small,PRI,USA
2021-01-01,Mid-level,Full Time,Data Engineer,93150,United States,<20% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Data Engineer,111775,United States,<20% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,Data Engineer,28016,Turkey,>80% Remote,Turkey,Medium,TUR,TUR
2021-01-01,Entry-level,Full Time,Data Engineer,65013,Germany,Partial Remote,Germany,Medium,DEU,DEU
2021-01-01,Entry-level,Full Time,Data Engineer,72500,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Machine Learning,18907,Brazil,<20% Remote,Brazil,Medium,BRA,BRA
2021-01-01,Entry-level,Full Time,Data Scientist,76833,Germany,<20% Remote,Germany,Large,DEU,DEU
2021-01-01,Entry-level,Full Time,Machine Learning,85000,Netherlands,>80% Remote,Germany,Small,NLD,DEU
2021-01-01,Senior-level,Full Time,Data Scientist,77684,France,Partial Remote,France,Medium,FRA,FRA
2021-01-01,Entry-level,Full Time,Data Scientist,100000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Entry-level,Full Time,Data Scientist,58000,United States,Partial Remote,United States,Large,USA,USA
2021-01-01,Senior-level,Full Time,Machine Learning,55000,Spain,>80% Remote,Spain,Large,ESP,ESP
2021-01-01,Senior-level,Full Time,Data Scientist,20171,Turkey,Partial Remote,Turkey,Large,TUR,TUR
2021-01-01,Entry-level,Full Time,Data Analyst,59102,Luxembourg,>80% Remote,Luxembourg,Large,LUX,LUX
2021-01-01,Mid-level,Full Time,Data Engineer,112000,United States,>80% Remote,United States,Large,USA,USA
2021-01-01,Entry-level,Full Time,research scientist,100000,Jersey,<20% Remote,China,Large,JEY,CHN
2021-01-01,Mid-level,Part Time,Data Engineer,69741,Netherlands,>80% Remote,Netherlands,Large,NLD,NLD
2021-01-01,Senior-level,Contract,Data Scientist,105000,United States,>80% Remote,United States,Medium,USA,USA
2021-01-01,Mid-level,Full Time,research scientist,69999,Czechia,Partial Remote,Czechia,Large,CZE,CZE
2021-01-01,Senior-level,Full Time,Data Scientist,94665,India,Partial Remote,India,Large,IND,IND
2021-01-01,Senior-level,Full Time,Data Scientist,102839,Slovenia,>80% Remote,Slovenia,Large,SVN,SVN
2021-01-01,Mid-level,Full Time,Data Scientist,109000,United States,Partial Remote,United States,Large,USA,USA
2021-01-01,Mid-level,Full Time,Machine Learning,51064,Italy,Partial Remote,Italy,Large,ITA,ITA
2022-01-01,Senior-level,Full Time,Data Engineer,135000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,155000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,120600,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,130000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,90000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,170000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,150000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,102100,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,84900,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,136620,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,99360,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,117789,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,104702,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,146000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,123000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Full Time,Data Engineer,52351,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Analyst,99000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,116000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,106260,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,126500,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Data Engineer,242000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Data Engineer,200000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,65438,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Scientist,39263,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Engineer,78526,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Engineer,52351,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,165220,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Full Time,Data Engineer,45807,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,120160,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,90320,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,181940,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,132320,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,220110,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,160080,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,180000,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,120000,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,124190,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Data Analyst,130000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Data Analyst,110000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,170000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,115500,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,112900,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,90320,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,112900,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,90320,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,165400,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,132320,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,167000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,243900,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,136600,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,109280,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,128875,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,93700,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Data Scientist,224000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Data Scientist,167875,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,analytics engineer,175000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,156600,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,108800,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,95550,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,113000,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,135000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,161342,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,137141,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,167000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,123000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,78526,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Engineer,65438,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,150000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,211500,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Architect,192400,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Architect,90700,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Analyst,130000,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Analyst,61300,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Analyst,130000,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Analyst,61300,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Engineer,160000,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,138600,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,136000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,58000,United States,<20% Remote,United States,Small,USA,USA
2022-01-01,Executive-level,Full Time,analytics engineer,135000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,170000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,123000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,189650,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,164996,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,54957,Greece,<20% Remote,Greece,Medium,GRC,GRC
2022-01-01,Mid-level,Full Time,Data Engineer,54957,Greece,<20% Remote,Greece,Medium,GRC,GRC
2022-01-01,Executive-level,Full Time,Data Engineer,118187,Canada,>80% Remote,Canada,Small,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Analyst,132000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,165400,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Architect,208775,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Architect,147800,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,136994,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,101570,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,128875,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,93700,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Machine Learning,79039,India,Partial Remote,India,Large,IND,IND
2022-01-01,Senior-level,Full Time,Data Engineer,132320,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Full Time,Machine Learning,37300,United Kingdom,>80% Remote,United Kingdom,Large,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Analyst,164000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,155000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,124333,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Machine Learning,98158,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Machine Learning,120000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,112900,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,90320,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,145000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,105400,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,87932,France,>80% Remote,Germany,Medium,FRA,DEU
2022-01-01,Mid-level,Full Time,Data Engineer,117789,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,215300,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,158200,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,209100,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,154600,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,115934,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Analyst,81666,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,175000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,98158,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Analyst,58000,United States,<20% Remote,United States,Small,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,183600,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,52351,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,180000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,71982,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Scientist,45807,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Engineer,65949,Greece,>80% Remote,Greece,Medium,GRC,GRC
2022-01-01,Mid-level,Full Time,Data Engineer,49461,Greece,>80% Remote,Greece,Medium,GRC,GRC
2022-01-01,Mid-level,Full Time,Data Engineer,78526,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Engineer,58894,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,260000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,60000,Argentina,>80% Remote,Mexico,Large,ARG,MEX
2022-01-01,Mid-level,Full Time,Data Engineer,63900,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,160000,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,112300,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,241000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,159000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,180000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,80000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,82900,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,100800,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,49461,Spain,>80% Remote,Spain,Medium,ESP,ESP
2022-01-01,Senior-level,Full Time,Data Scientist,140400,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,39263,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Analyst,43966,Spain,>80% Remote,Spain,Medium,ESP,ESP
2022-01-01,Mid-level,Full Time,Data Analyst,32974,Spain,>80% Remote,Spain,Medium,ESP,ESP
2022-01-01,Mid-level,Full Time,Data Engineer,87932,Spain,>80% Remote,Spain,Medium,ESP,ESP
2022-01-01,Mid-level,Full Time,Data Engineer,76940,Spain,>80% Remote,Spain,Medium,ESP,ESP
2022-01-01,Mid-level,Full Time,Data Engineer,104702,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Engineer,91614,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Engineer,65949,Spain,>80% Remote,Spain,Medium,ESP,ESP
2022-01-01,Mid-level,Full Time,Data Engineer,87932,Greece,>80% Remote,Greece,Medium,GRC,GRC
2022-01-01,Senior-level,Full Time,Machine Learning,189650,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,164996,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,43966,Greece,>80% Remote,Greece,Medium,GRC,GRC
2022-01-01,Mid-level,Full Time,Data Analyst,32974,Greece,>80% Remote,Greece,Medium,GRC,GRC
2022-01-01,Mid-level,Full Time,Data Engineer,98158,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Engineer,78526,United Kingdom,>80% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,215300,United States,<20% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,76940,Greece,>80% Remote,Greece,Medium,GRC,GRC
2022-01-01,Senior-level,Full Time,Data Engineer,209100,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,154600,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,180000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Full Time,Machine Learning,21983,Portugal,>80% Remote,Portugal,Large,PRT,PRT
2022-01-01,Senior-level,Full Time,Data Engineer,80000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,78791,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Executive-level,Full Time,Data Scientist,196979,Canada,Partial Remote,Canada,Large,CAN,CAN
2022-01-01,Mid-level,Full Time,Machine Learning,120000,United States,>80% Remote,United States,Small,USA,USA
2022-01-01,Entry-level,Full Time,Machine Learning,125000,United States,<20% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,37236,United States,Partial Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,105000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,87932,Germany,<20% Remote,Germany,Medium,DEU,DEU
2022-01-01,Mid-level,Full Time,Data Analyst,18442,India,>80% Remote,India,Medium,IND,IND
2022-01-01,Mid-level,Full Time,Data Scientist,31615,India,>80% Remote,India,Large,IND,IND
2022-01-01,Mid-level,Full Time,Machine Learning,58255,Portugal,Partial Remote,Portugal,Large,PRT,PRT
2022-01-01,Entry-level,Full Time,Data Analyst,100000,United States,Partial Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Part Time,Data Engineer,54957,Germany,Partial Remote,Germany,Large,DEU,DEU
2022-01-01,Entry-level,Full Time,Data Scientist,18442,India,>80% Remote,India,Medium,IND,IND
2022-01-01,Senior-level,Full Time,Data Scientist,162674,Germany,>80% Remote,Germany,Medium,DEU,DEU
2022-01-01,Entry-level,Full Time,Data Engineer,120000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,research scientist,144000,United States,Partial Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,104890,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,100000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,140000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,135000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Analyst,50000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,220000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,140000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,183228,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Mid-level,Full Time,Data Scientist,91614,United Kingdom,<20% Remote,United Kingdom,Medium,GBR,GBR
2022-01-01,Senior-level,Full Time,Data Scientist,185100,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,220000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,200000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,120000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,120000,United Arab Emirates,>80% Remote,United Arab Emirates,Small,ARE,ARE
2022-01-01,Senior-level,Full Time,Machine Learning,65000,United Arab Emirates,>80% Remote,United Arab Emirates,Small,ARE,ARE
2022-01-01,Executive-level,Full Time,Data Engineer,324000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Executive-level,Full Time,Data Engineer,216000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Engineer,210000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,120000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,230000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Part Time,Data Scientist,100000,Algeria,Partial Remote,Algeria,Medium,DZA,DZA
2022-01-01,Mid-level,Freelance,Data Scientist,100000,Canada,>80% Remote,United States,Medium,CAN,USA
2022-01-01,Entry-level,Contract,Machine Learning,31875,Tunisia,>80% Remote,Czechia,Medium,TUN,CZE
2022-01-01,Senior-level,Full Time,Data Scientist,200000,Malaysia,>80% Remote,United States,Medium,MYS,USA
2022-01-01,Mid-level,Full Time,Data Analyst,75000,Canada,>80% Remote,Canada,Small,CAN,CAN
2022-01-01,Mid-level,Full Time,Data Scientist,35590,Poland,>80% Remote,Poland,Large,POL,POL
2022-01-01,Senior-level,Full Time,Machine Learning,78791,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Senior-level,Full Time,Data Scientist,100000,Brazil,>80% Remote,United States,Medium,BRA,USA
2022-01-01,Mid-level,Full Time,Machine Learning,153000,United States,Partial Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Full Time,Data Engineer,58035,Pakistan,>80% Remote,Germany,Medium,PAK,DEU
2022-01-01,Senior-level,Full Time,Data Scientist,165000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Senior-level,Full Time,research scientist,93427,France,Partial Remote,France,Large,FRA,FRA
2022-01-01,Entry-level,Full Time,Data Scientist,52396,Canada,>80% Remote,Canada,Large,CAN,CAN
2022-01-01,Senior-level,Full Time,Machine Learning,62651,Netherlands,>80% Remote,Netherlands,Large,NLD,NLD
2022-01-01,Mid-level,Full Time,Data Scientist,32974,Estonia,>80% Remote,Estonia,Small,EST,EST
2022-01-01,Entry-level,Full Time,Data Scientist,40000,Japan,>80% Remote,Malaysia,Large,JPN,MYS
2022-01-01,Mid-level,Full Time,Machine Learning,87425,Australia,>80% Remote,Australia,Large,AUS,AUS
2022-01-01,Senior-level,Full Time,Data Engineer,115000,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Entry-level,Full Time,Data Scientist,86703,Australia,Partial Remote,Australia,Medium,AUS,AUS
2022-01-01,Mid-level,Full Time,Machine Learning,75000,"Bolivia, Plurinational State of",>80% Remote,United States,Large,BOL,USA
2022-01-01,Mid-level,Full Time,research scientist,64849,Austria,<20% Remote,Austria,Large,AUT,AUT
2022-01-01,Entry-level,Full Time,research scientist,120000,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,157000,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Entry-level,Full Time,Machine Learning,150000,Australia,>80% Remote,Australia,Small,AUS,AUS
2022-01-01,Mid-level,Full Time,Data Analyst,70912,Canada,Partial Remote,Canada,Large,CAN,CAN
2022-01-01,Entry-level,Full Time,Data Engineer,65000,United States,>80% Remote,United States,Small,USA,USA
2022-01-01,Senior-level,Full Time,Machine Learning,71444,Ireland,>80% Remote,Ireland,Small,IRL,IRL
2022-01-01,Entry-level,Full Time,Data Analyst,20000,Pakistan,<20% Remote,Pakistan,Medium,PAK,PAK
2022-01-01,Mid-level,Full Time,Data Scientist,48000,Russian Federation,>80% Remote,United States,Small,RUS,USA
2022-01-01,Senior-level,Full Time,Data Scientist,152500,United States,>80% Remote,United States,Medium,USA,USA
2022-01-01,Mid-level,Full Time,Data Engineer,68147,France,>80% Remote,France,Medium,FRA,FRA
2022-01-01,Mid-level,Full Time,Data Scientist,122346,Switzerland,<20% Remote,Switzerland,Large,CHE,CHE
2022-01-01,Senior-level,Full Time,Data Scientist,380000,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,69336,Canada,>80% Remote,Canada,Medium,CAN,CAN
2022-01-01,Entry-level,Full Time,Machine Learning,10000,Portugal,>80% Remote,Luxembourg,Medium,PRT,LUX
2022-01-01,Mid-level,Full Time,Data Analyst,20000,Greece,>80% Remote,Greece,Small,GRC,GRC
2022-01-01,Senior-level,Full Time,Data Analyst,405000,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,135000,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Senior-level,Full Time,Data Scientist,177000,United States,>80% Remote,United States,Large,USA,USA
2022-01-01,Mid-level,Full Time,Data Scientist,78000,United States,>80% Remote,United States,Medium,USA,USA
